What you want,Search terms,Link,Approx. size,Notes
More empty sky,"blue sky, clouds timelapse, clear sky",https://mixkit.co/free-stock-video/blue-sky/,~489,Skip any bird / eagle / flock
More clouds,"cloud, cloudy",https://mixkit.co/free-stock-video/cloud/,~1561,Skip any bird / eagle / flock
All sky,sky,https://mixkit.co/free-stock-video/sky/,~2063,Skip eagle / flock / bird if you need EMPTY sky
Coverr sky,sky,https://coverr.co/stock-video-footage/sky,—,Royalty-free
Pexels sky,blue sky,https://www.pexels.com/search/videos/blue%20sky/,—,Free to use
Pixabay sky,blue sky clouds,https://pixabay.com/videos/search/blue%20sky%20clouds/,—,Pixabay Content License
Living rooms,living room,https://mixkit.co/free-stock-video/living-room/,~310,Skip clips of people on the sofa
Hotel / bedroom,hotel room,https://mixkit.co/free-stock-video/hotel-room/,—,Prefer empty rooms with windows
Empty living room,empty living room,https://www.pexels.com/search/videos/empty%20living%20room/,—,Best indoor references
Room + window,living room window,https://www.pexels.com/search/videos/living%20room%20window/,—,Window = bird is inside the house
Mixkit birds (499 clips),birds,https://mixkit.co/free-stock-video/birds/,~499,Main bird TARGET dump
Mixkit bird,bird,https://mixkit.co/free-stock-video/bird/,~499,"Same library, bird tag"
Mixkit parrot (21 clips),parrot,https://mixkit.co/free-stock-video/parrot/,~21,Good identity / perched birds
Pexels flying birds,flying birds,https://www.pexels.com/search/videos/flying%20birds/,thousands,Outdoor TARGET
Pexels parrot,parrot,https://www.pexels.com/search/videos/parrot/,—,Identity TARGET
Pexels pigeon,pigeon flying,https://www.pexels.com/search/videos/pigeon%20flying/,—,Outdoor TARGET
Pixabay birds flying,birds flying,https://pixabay.com/videos/search/birds%20flying/,thousands,Outdoor TARGET
Pixabay parrot,parrot,https://pixabay.com/videos/search/parrot/,—,Identity / pet bird
Pixabay indoor parrot,parrot indoor,https://pixabay.com/videos/search/parrot%20indoor/,—,Hunt for house-bird TARGETS
Pixabay pet bird,pet bird cage,https://pixabay.com/videos/search/pet%20bird%20cage/,—,Indoor TARGET candidates
Pixabay green screen flying birds,green screen birds flying,https://pixabay.com/videos/search/green%20screen%20birds%20flying/,—,Useful to composite a bird into empty rooms/sky
Coverr birds,bird,https://coverr.co/stock-video-footage/bird,—,Outdoor TARGET
