#,Source,Room type,Why it helps,Link,Use as
1,Mixkit,"Living room, wood furniture, windows",Indoor house look,https://mixkit.co/free-stock-video/modern-living-room-with-wooden-furniture-3090/,Indoor reference (empty room)
2,Mixkit,"Living room, gray sofa",Perch / fly-across space,https://mixkit.co/free-stock-video/minimalist-room-with-gray-sofa-3110/,Indoor reference (empty room)
3,Mixkit,"Room, wooden table + windows",Window = inside vs outside,https://mixkit.co/free-stock-video/minimalist-room-with-wooden-furniture-3091/,Indoor reference (empty room)
4,Mixkit,"Bedroom, two beds, open window",Strong in-the-house cue,https://mixkit.co/free-stock-video/minimalist-room-with-a-couple-of-beds-3109/,Indoor reference (empty room)
5,Mixkit,Master bedroom + window,Indoor + view outside,https://mixkit.co/free-stock-video/master-bedroom-and-window-3111/,Indoor reference (empty room)
6,Mixkit,Kitchen,Second indoor room type,https://mixkit.co/free-stock-video/interior-view-of-a-spacious-modern-kitchen-43033/,Indoor reference (empty room)
7,Mixkit,"Bedroom, large window",Bird can sit on sill / fly in,https://mixkit.co/free-stock-video/hotel-room-with-modern-minimalist-style-4488/,Indoor reference (empty room)
8,Mixkit,Luxury room pan,Slow camera through a room,https://mixkit.co/free-stock-video/luxury-hotel-room-panning-shot-4196/,Indoor reference (empty room)
9,Mixkit,"Hotel room pan, wood furniture",Another indoor layout,https://mixkit.co/free-stock-video/pan-shot-of-the-interior-of-a-hotel-room-4198/,Indoor reference (empty room)
10,Mixkit,White boutique room,Bright indoor space,https://mixkit.co/free-stock-video/white-luxury-boutique-hotel-room-4046/,Indoor reference (empty room)
11,Mixkit,"Classic room, bed + sofa",Living/sleep mix,https://mixkit.co/free-stock-video/hotel-room-with-breakfast-served-4019/,Indoor reference (empty room)
12,Mixkit,Decorated room + terrace,"Indoor, then opening out",https://mixkit.co/free-stock-video/beautifully-decorated-hotel-room-4030/,Indoor reference (empty room)
13,Mixkit,Vintage living room,Different furniture style,https://mixkit.co/free-stock-video/vintage-living-room-setup-100891/,Indoor reference (empty room)
14,Coverr,Home interior + garden view,Window to outside,https://coverr.co/videos/contemporary-home-interior-with-scenic-view,Indoor reference (empty room)
15,Coverr,"Empty interior, concrete",Empty-room reference,https://coverr.co/videos/empty-minimal-gallery-space-with-polished-concrete-floor,Indoor reference (empty room)
16,Pixabay,Cozy living room,House interior,https://pixabay.com/videos/cozy-fantasy-livingroom-apartment-176358/,Indoor reference (empty room)
17,Pixabay,Clouds through a window,Sky seen FROM INSIDE,https://pixabay.com/videos/cloud-window-sky-advertisement-110924/,Indoor reference (window to sky)
18,Pixabay,"Window, rain, city sky",Indoor looking out,https://pixabay.com/videos/window-clouds-rain-roses-sky-city-12380/,Indoor reference (window to sky)
